BondId,Value,IntrestRate,CreationDate,Expiration,PayInterval,SellerId
36,1000,0.1231,2019-04-29,2025-04-27,8,29
37,1000,0.0342,2012-05-27,2013-05-27,4,104
38,10000,0.1115,1990-04-25,1996-04-23,4,13
39,100000,0.0197,2004-11-17,2004-11-26,8,33
40,1000,0.0164,1992-02-05,1992-08-05,1,18
41,1000000,0.625,2001-07-19,2011-07-17,12,10
42,10000,0.2422,2003-10-08,2011-10-06,8,97
43,1000000,0.1328,2018-09-10,2026-09-08,2,12
44,100000,0.0286,2012-01-14,2015-01-13,1,34
45,1000,0.0116,1990-06-22,1990-06-23,2,52
46,100000,0.0284,2007-10-16,2007-11-12,2,110
47,1000000,0.0107,1997-10-09,1997-10-12,4,5
48,10000,0.0175,2019-11-28,2019-12-01,8,79
49,1000,0.8125,1992-09-16,2002-09-14,4,21
50,100000,0.1667,2009-08-14,2016-08-12,8,54
51,100000,0.0284,2010-12-22,2011-01-18,12,73
52,1000000,0.0107,2023-10-01,2023-10-04,1,96
53,100000,0.2266,1998-06-09,2006-06-07,2,6
54,1000000,0.0158,2003-10-12,2003-10-13,12,71
55,10000,0.0146,1998-12-12,1998-12-21,1,22
56,10000,0.0225,1992-08-13,1992-09-09,8,71
57,1000,0.0684,1991-05-19,1995-05-18,2,21
58,1000,0.3333,2002-01-28,2011-01-26,1,14
59,1000000,0.0331,2010-09-18,2010-12-08,8,59
60,1000,0.0729,2000-05-22,2007-05-21,12,98
61,10000,0.0166,1998-05-18,1998-06-14,12,40
62,1000000,0.0254,2002-10-31,2002-11-27,4,9
63,1000,0.0316,2005-02-26,2009-02-25,1,18
64,1000,0.024,1992-03-02,1993-03-02,1,37
65,1000000,0.0619,2020-05-28,2023-05-28,2,117
66,100000,0.1797,2020-10-23,2028-10-21,4,101
67,10000,0.0171,2019-06-28,2019-07-07,1,43
68,10000,0.0548,2003-08-30,2006-08-29,2,76
69,1000,0.0274,2001-03-17,2001-09-15,8,55
70,100000,0.0274,2007-05-17,2009-05-16,4,24
71,1000,0.0762,2012-09-13,2015-09-13,4,83
72,100000,0.0525,1997-01-02,1999-01-02,4,36
73,10000,0.3833,2007-09-15,2016-09-12,1,116
74,1000,0.0731,2012-10-13,2014-10-13,12,75
75,1000,0.0107,1994-08-11,1994-08-14,1,5
76,1000,0.0938,2011-09-23,2019-09-21,12,18
77,1000,0.0274,2013-05-27,2013-06-05,4,54
78,1000000,0.0175,2010-02-08,2010-02-11,1,4
79,1000,0.0525,2017-08-06,2019-08-06,2,71
80,1000,0.1231,2021-01-08,2027-01-07,4,95
81,10000,0.8125,2002-03-03,2012-02-29,8,112
82,10000,0.1198,2015-04-23,2022-04-21,2,78
83,1000,0.0171,2005-11-28,2005-12-07,8,25
84,1000,0.069,2018-11-22,2021-11-21,4,67
85,1000000,0.012,2006-04-04,2006-04-13,12,1
86,1000000,0.0654,2020-08-05,2026-08-04,1,53
87,100000,0.0263,2016-07-11,2016-09-30,1,107
88,10000,0.0605,2008-05-28,2012-05-27,12,76
89,10000,0.0091,2019-07-04,2019-07-07,1,109
90,1000,0.1667,2023-04-18,2030-04-16,12,84
91,1000,0.0284,2010-03-23,2010-04-19,2,6
92,1000,0.0129,2003-05-02,2003-05-05,1,12
93,100000,0.0166,2016-06-22,2016-07-19,12,22
94,10000,0.7188,2021-10-18,2031-10-16,1,77
95,10000,0.0107,2003-01-02,2003-01-05,8,5
96,10000,0.1797,2001-10-07,2009-10-05,12,49
97,1000000,0.0531,1997-01-15,1998-01-15,2,70
98,10000,0.0964,2003-08-11,2008-08-09,8,114
99,1000,0.1562,2004-03-29,2012-03-27,4,94
100,1000000,0.0171,1992-07-02,1992-07-11,12,10
101,1000,0.0625,2001-05-02,2008-04-30,1,24
102,1000000,0.0762,2007-03-09,2010-03-08,8,2
103,100000,0.0175,1995-04-19,1995-04-22,1,99
104,1000000,0.0729,1993-12-02,2000-11-30,2,96
105,10000,0.0605,2001-04-15,2005-04-14,8,82
106,10000,0.0769,2022-05-20,2028-05-18,1,30
107,1000,0.0405,2023-04-04,2026-04-03,8,85
108,100000,0.9688,2017-09-25,2027-09-23,4,88
109,10000,0.0342,2001-05-02,2002-05-02,12,104
110,1000,0.9062,1996-06-26,2006-06-24,2,59
111,1000000,0.0315,2010-12-06,2011-06-06,1,47
112,100000,0.0248,1994-01-26,1994-02-04,1,110
113,1000000,0.3833,2010-01-14,2019-01-12,8,119
114,100000,0.2422,2011-05-25,2019-05-23,2,97
115,1000,0.0152,2008-08-11,2008-08-14,2,106
116,1000,0.0729,2021-02-02,2028-02-01,4,5
117,10000,0.1562,2023-02-01,2031-01-30,4,103
118,1000,0.1115,1996-02-05,2002-02-03,12,13
119,1000000,0.1562,1993-11-29,2001-11-27,2,14
120,10000,0.0146,2017-01-31,2017-02-09,2,53
121,1000000,0.0354,2023-02-15,2023-05-07,8,69
122,1000,0.0476,2018-03-12,2021-03-11,8,100
123,10000,0.0152,2016-01-09,2016-01-12,12,100
124,1000,0.0274,2016-04-08,2016-04-17,1,84
125,100000,0.0107,2012-06-15,2012-06-18,8,1
126,1000,0.0462,1990-12-17,1996-12-15,1,127
127,1000,0.0096,2017-02-07,2017-02-08,8,118
128,100000,0.9688,2018-08-26,2028-08-23,1,69
129,1000000,0.0964,1991-08-12,1996-08-10,1,26
130,10000,0.069,1993-02-25,1996-02-25,1,73
131,10000,0.5312,1998-03-17,2008-03-14,4,40
132,1000000,0.0938,2019-08-26,2027-08-24,2,24
133,10000,0.0476,2014-11-10,2017-11-09,2,25
134,1000000,0.1115,2007-10-25,2013-10-23,1,62
135,1000,0.0197,2007-09-01,2007-09-10,12,99
136,1000,0.1231,1995-02-09,2001-02-07,8,83
137,10000,0.0117,1993-07-06,1993-08-02,4,24
138,1000,0.0605,2000-12-16,2004-12-15,4,101
139,100000,0.0394,1999-12-01,2000-11-30,4,56
140,100000,0.0445,2001-12-23,2002-12-23,12,9
141,100000,0.0291,1996-05-17,1997-05-17,2,111
142,1000000,0.0221,2002-05-22,2002-05-25,12,73
143,10000,0.0137,1995-01-31,1995-02-01,4,90
144,1000000,0.0762,1993-12-15,1996-12-14,8,83
145,100000,0.032,1999-01-10,2001-01-09,2,5
146,1000,0.016,2014-02-21,2014-05-13,2,98
147,10000,0.0457,2008-08-02,2010-08-02,12,66
148,1000,0.0313,2011-12-02,2011-12-29,4,83
149,1000,0.0225,2003-07-09,2003-08-05,4,124
150,1000000,0.0438,2005-11-29,2006-05-30,4,17
151,1000,0.0602,2006-10-08,2011-10-07,1,14
152,1000000,0.1231,2018-03-06,2024-03-04,12,80
153,10000,0.0274,2021-04-11,2023-04-11,8,109
154,1000000,0.0197,2019-03-13,2019-03-22,4,51
155,1000,0.0762,2007-06-29,2010-06-28,1,84
156,1000000,0.0548,2005-08-21,2008-08-20,8,108
157,1000000,0.0769,2021-04-27,2027-04-26,8,120
158,100000,0.0171,2017-06-03,2017-06-12,4,25
159,1000000,0.0107,1993-09-26,1993-09-29,2,5
160,1000,0.0244,2019-07-13,2019-07-16,4,84
161,1000000,0.0602,2012-11-29,2017-11-28,4,94
162,10000,0.0457,2000-08-20,2002-08-20,1,103
163,1000,0.0605,2021-02-16,2025-02-15,12,81
164,100000,0.0388,2000-11-20,2002-11-20,4,40
165,1000,0.625,2017-12-15,2027-12-13,4,120
166,100000,0.0228,2014-08-04,2014-10-24,2,55
167,1000000,0.0512,1993-02-08,1998-02-07,12,20
168,1000,0.0175,1997-05-11,1997-05-14,4,99
169,1000000,0.0457,2022-11-27,2024-11-26,2,64
170,1000,0.0212,2001-05-23,2001-05-24,2,88
171,1000000,0.0769,2004-01-07,2010-01-05,12,25
172,100000,0.0129,2017-12-05,2017-12-08,8,7
173,1000000,0.2833,2001-06-05,2010-06-03,8,52
174,10000,0.0769,2015-09-09,2021-09-07,12,93
175,10000,0.0964,2005-09-11,2010-09-10,2,17
176,1000,0.0394,2017-03-03,2018-03-03,1,77
177,1000,0.1042,1998-03-16,2005-03-14,12,43
178,10000,0.0438,2003-06-02,2003-12-01,8,74
179,100000,0.0762,1990-06-13,1993-06-12,4,83
180,1000,0.0212,1996-10-07,1996-10-08,1,105
181,10000,0.4375,2006-08-23,2016-08-20,8,1
182,1000,0.0693,2008-05-16,2013-05-15,12,11
183,10000,0.0158,1994-04-01,1994-04-02,2,56
184,1000000,0.0365,2014-01-28,2014-04-19,12,95
185,100000,0.0274,2020-09-17,2020-09-26,12,126
186,1000,0.7188,2010-07-22,2020-07-19,1,107
187,1000000,0.0297,2019-01-06,2019-03-28,1,21
188,1000000,0.9062,2019-10-05,2029-10-02,12,73
189,1000000,0.0368,2009-06-14,2013-06-13,2,8
190,1000000,0.1667,2010-08-19,2017-08-17,1,72
191,1000000,0.375,1993-01-24,2003-01-22,4,28
192,10000,0.1354,2011-11-22,2018-11-20,2,21
193,100000,0.0297,2005-03-09,2005-05-29,8,61
194,10000,0.0196,2014-07-11,2014-08-07,4,25
195,100000,0.3833,2011-03-19,2020-03-16,4,119
196,100000,0.0244,2007-07-23,2007-07-26,4,19
197,1000,0.0438,2012-12-26,2013-06-26,8,84
198,100000,0.0738,2013-10-24,2016-10-23,8,97
199,1000000,0.5312,1994-09-14,2004-09-11,8,7
200,100000,0.0885,1998-06-04,2005-06-02,12,111
201,100000,0.5333,1993-10-19,2002-10-17,12,83
202,100000,0.0342,1991-10-05,1992-10-04,2,120
203,1000,0.0225,2001-10-10,2001-11-06,8,51
204,10000,0.016,2008-11-16,2009-02-05,2,118
205,1000,0.625,2020-09-22,2030-09-20,1,100
206,1000,0.0274,2003-09-29,2003-10-08,4,113
207,10000,0.151,2014-02-05,2021-02-03,1,62
208,1000000,0.0762,1998-03-31,2001-03-30,1,2
209,100000,0.0303,2006-11-22,2006-12-19,8,88
210,1000000,0.0137,2014-07-05,2014-07-06,4,104
211,1000,0.0594,2014-05-01,2016-04-30,12,21
212,1000000,0.1667,1998-09-12,2005-09-10,1,95
213,1000000,0.0842,1993-06-02,1997-06-01,4,65
214,1000,0.3333,1990-07-07,1999-07-05,1,30
215,1000000,0.0438,2015-07-28,2016-01-26,1,80
216,10000,0.0178,1994-05-17,1994-05-18,1,9
217,100000,0.7188,2015-02-15,2025-02-12,2,101
218,10000,0.1042,1992-10-10,1999-10-09,1,30
219,10000,1.0,1994-03-08,2004-03-05,12,74
220,1000000,0.7188,2008-09-18,2018-09-16,2,56
221,100000,0.25,2016-08-19,2024-08-17,12,72
222,1000,0.0368,2017-11-03,2021-11-02,2,118
223,10000,0.012,2008-04-08,2008-04-17,12,98
224,1000,0.0457,2016-11-04,2018-11-04,1,104
225,10000,0.0175,2006-08-21,2006-08-24,2,102
226,1000,0.0885,2006-10-26,2012-10-24,1,115
227,10000,0.0885,2021-05-12,2027-05-11,12,82
228,100000,0.0447,2006-03-08,2010-03-07,12,52
229,1000,0.0605,1997-06-11,2001-06-10,1,122
230,100000,0.0331,2023-06-02,2023-08-22,8,15
231,1000,0.0708,2022-11-02,2024-11-01,4,57
232,1000,0.0625,2013-01-05,2020-01-04,2,34
233,1000,0.0457,2016-05-03,2018-05-03,4,10
234,10000,0.0265,2012-02-15,2012-02-24,12,88
235,1000000,0.3833,2006-05-07,2015-05-05,12,82
236,1000,0.0538,2020-10-05,2026-10-04,1,37
237,10000,0.0605,2001-11-18,2005-11-17,2,42
238,1000000,0.0605,2016-05-21,2020-05-20,1,122
239,1000000,0.0548,1999-12-14,2002-12-13,12,108
240,1000,0.0368,2010-02-21,2014-02-20,1,8
241,1000,0.0462,2014-04-05,2020-04-03,2,18
242,100000,0.0331,2007-07-24,2007-10-13,1,62
243,1000,0.9062,2018-04-09,2028-04-06,4,13
244,10000,0.0425,2009-08-06,2010-02-04,4,88
245,10000,0.2031,2001-03-07,2009-03-05,1,61
246,10000,0.0769,2014-12-30,2020-12-28,4,30
247,10000,0.0769,1993-08-28,1999-08-27,4,25
248,100000,0.0196,1995-12-05,1996-01-01,1,66
249,100000,0.0107,1997-09-14,1997-09-17,2,8
250,1000,0.0873,2016-10-29,2021-10-28,12,15
251,100000,0.1328,2019-06-18,2027-06-16,8,7
252,1000,0.5333,2006-03-17,2015-03-15,8,19
253,10000,1.0,2022-08-08,2032-08-05,1,83
254,1000000,0.0197,2014-12-17,2014-12-26,8,71
255,100000,0.0397,1992-09-25,1993-03-26,2,59
256,10000,0.0137,1995-01-31,1995-04-22,4,34
257,1000,0.0137,1998-10-21,1998-10-22,4,30
258,1000000,0.2833,2020-03-30,2029-03-28,12,20
259,10000,0.0964,1996-06-09,2001-06-08,2,95
260,1000000,0.0137,2011-10-12,2011-10-13,1,90
261,10000,0.0548,2011-04-22,2014-04-21,1,4
262,10000,0.1094,2015-06-17,2023-06-15,1,23
263,10000,0.0394,2014-12-23,2015-12-23,1,51
264,1000000,0.0842,1997-11-17,2001-11-16,12,80
265,1000000,0.2333,2008-08-13,2017-08-11,12,98
266,1000,0.0244,2004-06-09,2004-06-12,1,27
267,100000,0.1231,2021-12-03,2027-12-02,12,83
268,1000000,0.1042,2016-11-08,2023-11-07,4,94
269,100000,0.0365,2021-01-24,2021-04-15,12,95
270,10000,0.1192,1995-07-05,2001-07-03,12,88
271,10000,0.0602,2017-06-02,2022-06-01,4,104
272,10000,0.0388,2023-03-20,2025-03-19,4,20
273,1000,0.0274,2007-06-18,2009-06-17,12,109
274,10000,0.0842,2018-03-27,2022-03-26,12,95
275,100000,0.0762,1997-08-16,2000-08-15,8,50
276,1000,0.3833,1994-01-14,2003-01-12,1,121
277,1000000,0.1231,2021-01-28,2027-01-27,12,65
278,100000,0.0197,2015-06-28,2015-07-07,8,99
279,1000,1.0,2006-06-06,2016-06-03,1,54
280,100000,0.0729,2004-11-02,2011-11-01,1,8
281,10000,0.0199,2002-03-13,2002-03-14,2,45
282,100000,0.5333,2013-06-01,2022-05-30,4,35
283,100000,0.1667,2009-04-08,2016-04-06,1,74
284,100000,0.0315,1999-09-19,2000-03-19,12,121
285,1000000,0.0885,1998-09-15,2005-09-13,4,22
286,1000,0.0769,2001-01-17,2007-01-16,2,89
287,1000,0.0763,2021-03-25,2025-03-24,8,59
288,1000000,0.0361,1993-09-28,1998-09-27,2,34
289,10000,0.0842,2021-07-11,2025-07-10,8,65
290,100000,0.0263,2011-12-27,2012-03-17,4,76
291,10000,0.0394,1997-10-03,1998-10-03,8,78
292,1000000,0.2,2005-01-01,2013-12-30,2,24
293,10000,0.3833,1999-12-13,2008-12-10,8,51
294,100000,0.3833,1998-03-19,2007-03-17,4,99
295,100000,0.0356,2013-10-23,2014-04-23,4,61
296,100000,0.0158,1994-11-10,1994-11-11,4,119
297,100000,0.0525,2002-09-01,2004-08-31,1,56
298,100000,0.0729,1997-08-27,2004-08-25,8,5
299,100000,1.0,2022-12-23,2032-12-20,12,2
300,10000,0.1192,2023-08-05,2029-08-03,4,97
301,10000,0.032,1999-12-24,2001-12-23,12,118
302,1000,0.0476,2020-12-05,2023-12-05,8,14
303,10000,0.7188,2008-04-20,2018-04-18,2,115
304,1000000,0.0842,2002-05-29,2006-05-28,4,50
305,1000,0.0729,2023-03-01,2030-02-27,4,37
306,1000,0.0225,1993-09-28,1993-10-25,2,42
307,100000,0.0263,2008-08-19,2008-11-08,8,78
308,1000000,0.0175,2014-02-16,2014-02-19,2,33
309,10000,0.0397,1994-03-01,1994-08-30,12,15
310,10000,0.0192,1994-03-10,1994-09-08,4,63
311,1000000,0.0525,1997-07-15,1999-07-15,2,49
312,100000,0.0405,2010-05-03,2013-05-02,1,7
313,1000,0.0548,2018-04-25,2021-04-24,1,119
314,1000,0.0964,1993-04-27,1998-04-26,2,75
315,10000,0.2031,2001-05-25,2009-05-23,2,123
316,1000,0.0198,2010-10-12,2010-10-15,2,21
317,10000,0.1231,1998-08-07,2004-08-05,8,2
318,1000,0.0333,1999-03-18,2002-03-17,12,96
319,100000,0.0171,2005-10-06,2005-10-15,4,100
320,1000000,0.4833,2021-09-14,2030-09-12,1,39
321,1000,0.0342,2017-08-22,2018-08-22,8,14
322,10000,0.1042,2022-10-18,2029-10-16,4,14
323,100000,0.0361,2016-06-21,2021-06-20,1,28
324,100000,0.1231,2004-07-08,2010-07-07,1,80
325,10000,0.5333,2001-04-13,2010-04-11,12,80
326,100000,0.0548,2015-06-01,2016-05-31,1,65
327,1000,0.0316,1997-03-08,2001-03-07,8,60
328,10000,0.0842,2019-02-17,2023-02-16,4,17
329,1000000,0.0313,1994-08-31,1994-09-27,1,2
330,10000,0.016,1994-10-29,1995-01-18,8,5
331,10000,0.7188,2009-02-13,2019-02-11,4,42
332,1000,0.2266,2016-03-06,2024-03-04,12,15
333,100000,0.3833,2012-01-29,2021-01-26,12,78
334,1000,0.0175,1997-06-21,1997-06-24,1,51
335,1000,0.1094,2013-04-02,2021-03-31,1,23
336,1000,0.0462,2002-08-31,2008-08-29,8,18
337,1000,0.0885,1995-08-11,2002-08-09,2,22
338,100000,0.1042,2008-03-10,2015-03-09,1,125
339,1000000,0.0146,1993-04-29,1993-05-08,8,40
340,1000,0.0438,2000-06-11,2000-12-10,2,95
341,1000000,0.0738,2015-01-12,2018-01-11,2,88
342,1000000,0.0152,2022-04-09,2022-04-12,1,43
343,10000,0.0263,2004-07-15,2004-10-04,2,41
344,10000,0.0388,2022-09-19,2024-09-18,12,12
345,10000,0.069,2010-12-01,2013-11-30,8,86
346,1000000,0.2333,2010-07-15,2019-07-13,2,1
347,10000,0.0197,1991-02-25,1991-03-06,2,108
348,1000,0.0225,2019-10-15,2019-11-11,12,79
349,1000,0.0152,2010-11-05,2010-11-08,8,89
350,1000000,0.0205,2005-08-29,2006-08-29,8,18
351,1000000,0.1231,1993-01-07,1999-01-06,12,75
352,1000,0.1042,2000-11-25,2007-11-24,1,89
353,1000000,0.0096,2010-06-24,2010-06-25,8,5
354,100000,0.0605,2013-11-15,2017-11-14,8,71
355,1000000,0.1797,2005-04-29,2013-04-27,12,107
356,100000,0.0842,2023-05-09,2027-05-08,1,2
357,1000000,0.1354,2000-08-28,2007-08-27,4,123
358,100000,0.0842,2001-04-19,2005-04-18,4,68
359,10000,0.0693,2020-12-23,2025-12-22,4,47
360,1000000,0.0152,2006-02-13,2006-02-16,2,120
361,1000000,0.3833,2018-02-22,2027-02-20,1,119
362,100000,0.0842,2001-02-23,2005-02-22,2,83
363,1000000,0.0548,2006-11-18,2007-11-18,1,54
364,1000000,0.0885,2014-03-05,2020-03-03,1,76
365,1000000,1.0,2016-08-27,2026-08-25,8,113
366,1000000,0.0219,2021-08-27,2021-08-28,4,26
367,1000000,0.0107,2002-06-12,2002-06-15,4,118
368,1000,0.0885,2012-12-24,2019-12-23,1,12
369,1000,0.0762,2014-03-31,2017-03-30,1,35
370,1000000,0.0248,2013-12-08,2013-12-17,1,32
371,100000,0.0313,2006-08-10,2006-09-06,2,50
372,100000,0.0394,1991-09-02,1992-09-01,1,81
373,1000000,0.0274,2013-03-07,2013-03-16,2,114
374,100000,0.0219,1994-04-05,1994-04-06,4,58
375,100000,0.2266,2011-04-12,2019-04-10,2,110
376,10000,0.1094,1990-08-20,1998-08-18,12,37
377,1000,0.0762,2004-11-24,2007-11-24,8,126
378,100000,0.0394,2018-06-13,2019-06-13,2,51
379,1000,0.0885,2002-06-12,2008-06-10,2,33
380,100000,0.0512,2005-03-02,2010-03-01,2,46
381,1000000,0.0199,2011-11-06,2011-11-07,2,110
382,1000000,0.069,2022-02-07,2025-02-06,1,6
383,10000,0.5333,2012-05-16,2021-05-14,8,2
384,100000,0.0738,2007-05-24,2010-05-23,12,69
385,10000,1.0,2003-09-11,2013-09-08,8,27
386,10000,0.0274,2018-11-03,2019-05-04,1,89
387,10000,0.0233,2022-02-19,2022-08-20,4,12
388,1000000,0.0166,2021-06-25,2021-07-22,1,16
389,100000,0.0422,2004-06-07,2009-06-06,4,5
390,1000000,0.0225,1991-01-26,1991-02-22,4,77
391,10000,0.25,1990-10-05,1998-10-03,1,2
392,10000,0.0438,1999-08-29,2000-02-27,2,54
393,1000,0.0619,2001-01-03,2004-01-03,4,117
394,1000,0.1198,1992-03-29,1999-03-28,8,78
395,1000000,0.0171,2016-05-03,2016-05-12,12,103
396,1000000,0.1042,2003-05-21,2010-05-19,2,14
397,100000,0.0769,1995-06-05,2001-06-03,8,106
398,100000,0.1198,1990-09-30,1997-09-28,2,119
399,100000,0.0291,2018-10-02,2019-10-02,2,16
400,1000,0.012,2006-07-25,2006-08-03,1,48
401,10000,0.0842,2005-04-20,2009-04-19,8,74
402,10000,0.0197,2017-04-06,2017-04-15,2,42
403,1000,0.5312,2014-04-10,2024-04-07,8,44
404,10000,0.5312,2004-04-24,2014-04-22,1,53
405,10000,0.0397,1991-03-22,1991-09-20,1,67
406,100000,0.2333,2019-02-22,2028-02-20,8,96
407,100000,0.0274,1997-03-29,1999-03-29,4,18
408,100000,0.0333,1994-08-08,1997-08-07,4,87
409,1000000,0.8125,1998-06-23,2008-06-20,8,61
410,10000,0.4375,2008-04-25,2018-04-23,2,118
411,100000,0.0192,2000-11-20,2001-05-21,4,118
412,1000000,0.0103,2002-04-07,2002-04-16,8,34
413,100000,0.0297,2008-09-14,2008-12-04,1,9
414,1000,0.0619,2002-01-02,2005-01-01,1,117
415,100000,0.0594,2023-09-07,2025-09-06,1,21
416,1000,0.0158,2020-09-23,2020-09-24,1,47
417,10000,0.0438,2016-09-10,2017-03-11,8,72
418,1000,0.0938,2005-08-12,2013-08-10,8,34
419,1000,0.1192,2018-01-22,2024-01-21,8,57
420,100000,0.2031,2011-08-25,2019-08-23,8,61
421,100000,0.1198,2020-08-20,2027-08-19,2,36
422,1000000,0.0762,1994-11-22,1997-11-21,8,126
423,1000000,0.0263,2000-11-25,2001-02-14,2,82
424,10000,0.0137,2001-08-06,2001-10-26,1,18
425,1000000,0.0548,2021-07-13,2022-07-13,2,72
426,100000,0.0526,2008-12-20,2012-12-19,1,89
427,1000,0.0731,2013-11-23,2015-11-23,8,113
428,10000,0.0731,2019-06-28,2021-06-27,8,114
429,10000,0.0221,1991-08-07,1991-08-10,8,59
430,1000,0.0693,1999-01-07,2004-01-06,12,99
431,1000,0.0116,1991-11-27,1991-11-28,8,46
432,1000,0.0693,2000-09-06,2005-09-05,1,41
433,10000,0.1667,2002-04-25,2009-04-23,2,126
434,10000,0.0225,2017-02-14,2017-03-13,8,107
435,1000000,0.7188,2012-10-01,2022-09-29,1,76
436,1000,0.3833,1991-09-25,2000-09-22,8,108
437,1000,0.0602,2023-08-29,2028-08-27,12,106
438,1000000,0.0885,2013-06-24,2020-06-22,2,22
439,1000,0.25,2007-09-18,2015-09-16,4,65
440,1000000,0.0531,2012-11-18,2013-11-18,2,97
441,1000000,0.0526,1990-07-27,1994-07-26,4,125
442,1000000,0.9062,2017-02-23,2027-02-21,8,6
443,1000,0.4375,2011-06-02,2021-05-30,4,87
444,10000,0.0708,2000-01-06,2002-01-05,8,69
445,1000,0.7188,2012-08-28,2022-08-26,1,99
446,10000,0.0286,2014-11-24,2017-11-23,4,18
447,10000,0.2422,1995-03-06,2003-03-04,12,105
448,100000,0.0525,2015-11-03,2017-11-02,4,41
449,1000,0.0388,1997-07-12,1999-07-12,12,16
450,1000,0.1231,1992-05-18,1998-05-17,4,83
451,1000,0.151,1996-02-23,2003-02-21,1,73
452,1000,0.0265,2001-09-29,2001-10-08,4,105
453,10000,0.2833,1996-06-07,2005-06-05,1,40
454,10000,0.0525,1991-07-22,1993-07-21,4,116
455,1000000,0.0315,2021-04-29,2021-10-28,12,51
456,1000000,1.0,2022-05-29,2032-05-26,2,113
457,100000,0.0137,2016-05-04,2016-07-24,1,109
458,1000,0.0096,2000-01-17,2000-01-18,2,48
459,100000,0.0205,1994-04-06,1995-04-06,12,127
460,10000,0.0548,2003-05-01,2004-04-30,1,2
461,100000,0.012,2003-06-29,2003-07-08,2,8
462,1000,0.0205,2014-11-30,2015-11-30,2,60
463,100000,0.0422,2001-12-24,2006-12-23,2,23
464,1000,0.0175,2007-09-05,2007-09-08,1,82
465,100000,0.1198,2005-04-06,2012-04-04,8,119
466,100000,0.0082,2001-02-13,2001-02-14,2,60
467,10000,0.0422,2003-02-24,2008-02-23,12,118
468,1000,0.0096,2008-04-21,2008-04-22,12,23
469,1000000,0.0625,2005-03-22,2012-03-20,1,60
470,100000,0.0129,2002-02-06,2002-02-09,1,40
471,1000,0.0885,2009-10-09,2015-10-08,12,99
472,10000,0.0166,2014-01-06,2014-02-02,4,20
473,10000,0.0769,1996-01-17,2002-01-15,12,10
474,1000000,0.0248,2005-12-27,2006-01-05,2,32
475,100000,0.0531,2005-05-07,2006-05-07,8,97
476,100000,0.0137,2017-03-17,2017-06-06,8,28
477,10000,0.0297,2000-06-13,2000-09-02,1,117
478,10000,0.0196,2019-06-27,2019-07-24,1,89
479,1000,0.0934,2006-04-01,2011-03-31,4,69
480,1000000,0.1042,2020-02-29,2027-02-27,2,25
481,1000000,0.0457,2022-06-21,2024-06-20,1,30
482,10000,0.0116,1998-12-01,1998-12-02,12,46
483,10000,0.0885,2021-12-19,2027-12-18,2,3
484,1000000,0.0693,2020-03-25,2025-03-24,8,56
485,1000000,0.0525,1998-01-26,2000-01-26,8,51
486,1000,0.0476,1990-01-03,1993-01-02,12,93
487,10000,0.1198,1996-11-22,2003-11-21,4,49
488,1000,0.0885,1999-09-24,2005-09-22,1,41
489,1000,0.2266,2014-06-12,2022-06-10,12,45
490,1000,0.0152,2010-09-15,2010-09-18,4,25
491,10000,0.0137,1996-04-10,1996-06-30,4,34
492,1000,0.0356,1993-04-28,1993-10-27,1,117
493,10000,0.1667,2016-05-02,2023-05-01,1,29
494,10000,0.0331,2008-04-05,2008-06-25,2,15
